employee_id,first_name,last_name,email,address,work_type,married,gender,hire_date,department_id,position_id,employee_type,manager_id
17,Deborah,Escobar,andrewstim@gonzales.org,"9622 David Village Suite 153
Deanton, IL 49371",Remote,True,Other,2018-02-26,8,1,Full-time,20
18,Justin,Proctor,snguyen@gmail.com,"76020 Brown Crossroad
East Zacharyville, GA 28324",In-office,False,Male,2021-09-22,3,2,Contractor,93
19,Benjamin,Pena,sherry58@hotmail.com,"18436 Calhoun Forge Suite 706
East Melissa, SD 31039",Remote,False,Female,2023-03-13,4,4,Full-time,84
20,Jennifer,Moyer,ronald63@gmail.com,"492 Taylor Gardens Suite 893
East Cindy, CO 05197",In-office,False,Other,2014-03-24,6,10,Full-time,141
21,Lindsey,Chen,davidluna@dudley.com,"4996 Smith Turnpike Suite 271
New Noah, CO 36297",Remote,False,Male,2018-09-01,1,2,Full-time,35
22,Heather,Pearson,cpowell@hotmail.com,"920 Henson Forks Apt. 280
Joyceberg, AZ 84484",Remote,False,Female,2018-08-10,3,9,Contractor,84
23,Amanda,Middleton,riveramelanie@gmail.com,"269 Anna Land
New Johnton, VT 62708",Remote,False,Female,2019-05-06,9,2,Part-time,57
24,Laurie,Brown,brianna79@gmail.com,"51226 Gonzalez Prairie Apt. 806
South Jennifer, GA 51339",In-office,True,Female,2017-09-14,8,7,Contractor,143
25,Renee,Hull,piercecarrie@yahoo.com,"91979 Alexander Way Apt. 331
Alexport, NV 33426",Remote,False,Male,2019-12-13,4,8,Contractor,63
26,Manuel,Sandoval,cobrien@gmail.com,"9658 Flynn Haven
Port James, CA 64966",Remote,False,Other,2017-05-03,10,7,Contractor,47
27,Kevin,Romero,gcruz@hotmail.com,"0200 Montgomery Stravenue
South Danielle, ND 56618",In-office,False,Other,2018-10-10,5,5,Full-time,127
28,Ryan,Martinez,jennifer60@black-williams.com,"12263 Browning Branch Apt. 862
New Carlyton, WI 18396",Remote,True,Female,2017-04-26,6,1,Full-time,65
29,Lisa,Church,philip69@carlson.com,"298 Maria Mission Apt. 213
West Daniel, MI 23921",In-office,True,Male,2016-04-29,8,8,Part-time,144
30,Edward,Marks,smithjennifer@yahoo.com,"5317 Burton Lane Suite 826
Williamburgh, SD 97709",Remote,True,Male,2016-06-19,5,9,Contractor,62
31,Henry,Francis,uwilson@roberts.com,"7930 John Shoals
Brianfurt, MT 25564",Remote,False,Other,2020-01-10,5,2,Part-time,30
32,Shannon,Faulkner,flynnphyllis@miller-watkins.net,"656 Wagner Fall
Lake Ryanhaven, OH 67426",In-office,True,Other,2018-11-30,2,10,Part-time,124
33,Amy,Mcdonald,lisabell@young.biz,"92160 James Club
North Andrew, NJ 02637",In-office,False,Female,2015-12-21,5,9,Full-time,92
34,Lisa,Pena,osmith@hotmail.com,"92136 Estrada Drives Apt. 766
East Cynthiamouth, UT 68670",In-office,False,Other,2019-01-19,5,10,Contractor,104
35,Cynthia,Houston,sbruce@gmail.com,"266 Walker Isle
Robertburgh, OK 36764",Remote,True,Male,2017-07-22,6,8,Contractor,19
36,Brianna,Weeks,fmichael@yahoo.com,"994 Hill Vista Apt. 338
Jaimestad, AZ 53775",In-office,False,Male,2018-12-27,2,7,Part-time,115
37,Erin,Figueroa,obrooks@edwards-arroyo.com,"Unit 4602 Box 7358
DPO AE 12652",In-office,True,Male,2016-07-11,2,10,Full-time,20
38,Brandon,Torres,jacksonjustin@gmail.com,"6915 Willis Divide Apt. 429
Andrewtown, MO 80319",In-office,True,Other,2020-11-10,8,4,Full-time,99
39,Phillip,Jones,mflynn@schwartz.com,"1827 Fernandez Turnpike
North Benjamin, WV 55934",In-office,False,Male,2014-10-10,1,8,Full-time,109
40,Nicholas,Johnson,donald57@yahoo.com,"3705 Gabriel Lodge Suite 070
Lake Traciland, ND 95761",Remote,False,Female,2018-08-30,5,1,Contractor,86
41,Emily,Weber,gillchristopher@wagner.info,"39116 Mary Creek
North Kevin, MD 93524",Remote,True,Other,2019-04-18,2,7,Part-time,27
42,Kristin,Wilson,samanthahouston@hotmail.com,"96323 Elizabeth Drive Apt. 161
East Eileen, LA 65346",In-office,False,Female,2015-03-05,5,7,Part-time,75
43,Samantha,Johnston,jamesblair@stevenson-jones.com,"080 Garcia Dam
East Phyllistown, NV 36584",Remote,True,Male,2023-03-07,2,10,Contractor,56
44,Karen,Collins,sarah12@moran-nguyen.com,"895 Hamilton Brook Apt. 611
South Ryan, MT 01475",In-office,True,Other,2019-02-13,3,8,Contractor,56
45,Chelsea,Hill,kbrown@buckley.com,"416 Smith Valleys
East Andrea, NY 57522",Remote,True,Female,2020-01-12,10,10,Full-time,75
46,Edward,Romero,johnsonzachary@cox.org,"7707 Nguyen Harbor Apt. 753
Martintown, KS 27184",In-office,False,Other,2018-08-16,8,4,Full-time,57
47,April,Johnson,xmunoz@gmail.com,"614 Lara Mills
Teresastad, OR 58533",In-office,False,Female,2018-08-04,9,10,Contractor,80
48,John,Pacheco,chelseawilliams@nicholson-woods.com,"31103 Hicks Plain Suite 761
Morrisonview, DC 68859",In-office,True,Female,2017-04-20,10,8,Full-time,84
49,Erin,Buck,tara14@robinson-moyer.org,"533 Jones Bridge Suite 580
Englishfurt, HI 79079",Remote,True,Male,2014-04-14,6,7,Contractor,23
50,Maria,Bryant,jennifer41@gmail.com,"3515 Casey Streets
Angelahaven, ND 68627",Remote,False,Other,2013-08-27,2,8,Full-time,100
51,Gloria,Alexander,joanna99@weeks.com,"09090 Charles Circles
New Vincenttown, MA 53629",In-office,False,Female,2020-10-22,5,6,Full-time,46
52,Connie,Johnson,jennifer42@robinson.com,"77086 Graves Ville Suite 434
East Wayneport, MO 49183",In-office,False,Female,2015-08-05,2,6,Part-time,70
53,Valerie,Swanson,wagnerkenneth@moran-pittman.biz,"145 Barbara Brook Suite 864
West Ian, UT 31856",In-office,True,Female,2013-09-29,5,3,Part-time,63
54,Eric,Schmidt,logandaniel@jones-parks.info,"7529 James Drives Suite 174
Evansbury, MD 59660",Remote,False,Other,2020-09-08,4,4,Full-time,137
55,Barbara,Alexander,rhonda85@pena-smith.com,"742 Michael Street Suite 740
Lake James, UT 30432",In-office,False,Female,2022-10-09,1,6,Part-time,34
56,Becky,Shaw,onealkimberly@gmail.com,"955 Richmond Cliff
Dennisshire, NV 74189",Remote,False,Other,2017-09-02,9,6,Full-time,87
57,Margaret,Booth,vcook@brown.com,"822 Figueroa Locks Suite 799
West John, MS 86333",In-office,True,Other,2015-07-25,6,4,Full-time,11
58,John,Stevenson,margaretroberts@lee-cardenas.com,"Unit 9868 Box 3010
DPO AP 34609",In-office,True,Other,2022-07-24,3,8,Contractor,38
59,Abigail,Thornton,ramosnicholas@ross.biz,"517 James Crossroad
North Elizabethchester, IN 26199",In-office,True,Female,2017-06-09,4,10,Part-time,97
60,Seth,Miller,manuelharris@hotmail.com,"75794 Henson Prairie
Sullivantown, IL 84581",In-office,True,Male,2017-09-08,10,9,Full-time,70
61,Juan,Garcia,levymiranda@murillo.com,"005 Scott Terrace Suite 690
Port Raymond, IL 81564",Remote,False,Female,2018-02-25,8,9,Part-time,109
62,Mary,Arnold,cfrancis@hotmail.com,"59902 Nicole Island
Port Steven, MN 33280",In-office,False,Other,2014-08-13,9,1,Part-time,80
63,Alisha,Bass,christinapatterson@sosa.org,"656 Amanda Rapid
Cynthiaborough, MS 09936",In-office,True,Male,2021-05-10,4,10,Part-time,147
64,Gary,Pierce,yjoseph@hotmail.com,"163 Miller Stravenue
Armstrongfort, NJ 08850",Remote,True,Male,2019-09-29,2,1,Contractor,22
65,Gerald,Spears,watsontony@kirk.biz,"252 Michael Bridge Suite 637
New Carla, AK 05575",Remote,True,Other,2018-04-07,9,5,Part-time,147
66,Abigail,Knight,tyroneclark@yahoo.com,"321 Jensen Stravenue Apt. 697
East Jamesburgh, OH 13782",Remote,False,Other,2013-10-30,3,9,Contractor,19
67,Mark,Collins,sierravincent@garcia.net,"41171 Smith Fort Suite 354
South Julieport, DE 93074",Remote,True,Other,2016-06-11,10,4,Full-time,99
68,Antonio,Johnson,cdaniel@mathis.com,"738 Justin Cove Suite 383
Debrabury, WY 75247",Remote,True,Female,2015-02-14,9,9,Full-time,111
69,Angel,Mills,truiz@yahoo.com,"4505 Ramirez Glen Apt. 364
Alexisstad, DE 05130",In-office,False,Other,2014-09-04,4,8,Full-time,25
70,Jennifer,Taylor,kylealexander@gmail.com,"26801 Jessica Lakes
East Davidville, AZ 12324",In-office,False,Female,2014-06-30,3,4,Contractor,31
71,Joshua,Booker,monica80@hotmail.com,"6597 Whitehead Cape
Washingtonhaven, GA 18276",In-office,False,Male,2016-05-30,4,5,Part-time,32
72,Jack,Smith,kimanna@johnson.com,"PSC 7362, Box 6619
APO AE 18316",In-office,True,Other,2022-12-23,9,4,Full-time,147
73,Samantha,Alvarado,tracy74@hotmail.com,"9879 Amber Divide
New Eric, MI 09368",Remote,False,Male,2016-09-04,5,9,Part-time,75
74,Sean,Johnson,arnoldjake@clark-cox.com,"5687 Schneider Corner
West Jackborough, ID 17720",In-office,False,Female,2019-08-22,1,1,Part-time,13
75,Jennifer,Reid,arobinson@gmail.com,"167 Edward Terrace Apt. 759
Williamsberg, VA 13508",In-office,True,Female,2022-09-01,8,3,Part-time,117
76,Susan,Mckenzie,amy59@henderson.biz,"73488 Peggy Shoal Apt. 946
New Kevinfurt, HI 43391",In-office,False,Female,2020-08-13,4,8,Full-time,30
77,Kevin,Flores,kathleenbarber@gilbert-rodriguez.com,"7275 Chase Forges Apt. 503
Edwardchester, HI 48409",Remote,True,Other,2023-02-25,8,3,Part-time,52
78,John,Chavez,rhines@franklin.com,"35154 Melissa Lakes Apt. 275
Christopherbury, VA 15426",In-office,True,Male,2019-10-07,6,8,Contractor,88
79,Anthony,Reynolds,andrewrodriguez@gmail.com,"490 Maria Parkways Apt. 701
Yateschester, CA 76598",Remote,True,Male,2017-11-09,3,2,Contractor,64
80,Jenny,Wolf,gilessamuel@shaffer.com,"646 Steven Spurs
Port Richard, DE 89459",In-office,False,Female,2017-04-29,7,3,Part-time,107
81,James,Reynolds,steven45@burch-edwards.net,"06505 Kayla Spurs Suite 962
North Gregory, TN 78842",In-office,True,Female,2023-01-12,9,6,Part-time,40
82,Lance,Lawrence,zachary51@martin.biz,"355 Carrie Crossing Suite 109
Port Richardfurt, WV 78893",In-office,True,Female,2017-06-15,10,5,Contractor,66
83,Ashley,Freeman,diana48@yahoo.com,"PSC 9768, Box 4253
APO AA 18544",In-office,False,Male,2022-05-08,7,3,Part-time,16
84,Wayne,Robinson,tammy11@gmail.com,"118 Jackson Rue Suite 964
Michaelbury, SD 20379",In-office,True,Male,2020-04-19,4,2,Contractor,86
85,Theresa,Adams,zoe14@hotmail.com,"750 Choi Center
East Christon, OR 89059",Remote,True,Male,2020-02-25,10,8,Part-time,133
86,Tina,Graham,nicolas08@gmail.com,"624 Aaron Overpass
Jonesborough, IL 93069",Remote,True,Other,2019-04-14,3,3,Part-time,148
87,Melissa,Alvarado,robertsnyder@yahoo.com,"765 Gregory Plaza
South Kellieburgh, AL 39052",Remote,False,Other,2022-07-01,4,3,Contractor,112
88,Thomas,Tyler,john96@mercado.org,"753 Travis Isle Suite 809
Parksburgh, UT 98329",In-office,True,Female,2016-01-31,3,10,Part-time,93
89,David,Lopez,johnbaxter@sparks.biz,"62669 Sarah Branch Apt. 880
Pottertown, KY 00849",Remote,False,Other,2014-06-30,7,1,Contractor,143
90,Gail,Clark,jenna03@hotmail.com,"65014 Smith Drives
South Patrick, RI 26749",In-office,False,Other,2019-12-02,5,10,Contractor,64
91,Curtis,Murphy,gonzalezcory@gmail.com,"902 Christian Heights Apt. 943
New Margaretside, MI 38616",In-office,False,Other,2016-08-12,8,2,Part-time,9
92,Stephen,Watson,jacob11@rush-johnson.com,"7410 Williams Locks
East Jessica, WI 71585",In-office,True,Other,2013-10-22,9,9,Full-time,39
93,Alexis,Martin,udavis@yahoo.com,"28370 Phillips Vista Apt. 742
New Shaunfort, WA 10176",Remote,True,Other,2021-06-02,4,1,Part-time,13
94,Stephanie,Serrano,perezjennifer@hurley-freeman.com,"43121 Lee Villages Suite 381
Richardsberg, MD 12088",In-office,False,Female,2019-04-23,10,6,Part-time,100
95,David,Adams,andreacarson@hotmail.com,"50586 Ramirez Crescent
Dayborough, NV 18704",In-office,False,Female,2021-12-26,8,10,Full-time,124
96,Tamara,Carter,pamelawilliamson@phillips-graves.com,"833 Adams Via
Amandaberg, NV 78961",Remote,True,Other,2013-10-14,5,8,Part-time,8
97,Donna,Wood,kimberly38@houston.com,"18566 Joseph Via
Huberberg, GA 20964",In-office,True,Other,2019-10-06,2,1,Full-time,139
98,John,Arroyo,nguyensarah@hotmail.com,"4695 Cruz Port Apt. 599
New Cindy, ME 99579",In-office,False,Other,2016-06-11,3,5,Full-time,70
99,Kristen,Taylor,gallegosjacqueline@johnson.com,"31558 Mary Forge Suite 965
Lindsayland, SC 42671",In-office,True,Female,2017-03-11,9,8,Full-time,89
100,Tony,Lee,rachel08@miranda.biz,"Unit 7305 Box 3443
DPO AE 54830",In-office,False,Female,2019-04-19,7,8,Part-time,41
101,John,Scott,homonica@yahoo.com,"824 Charles Trace
Port Jason, WA 48517",In-office,False,Male,2018-02-28,5,2,Part-time,122
102,Stephen,Santiago,operez@gmail.com,"450 Coleman Terrace
Haynesshire, ND 08547",In-office,True,Female,2023-02-25,1,5,Full-time,116
103,Paula,Shelton,hsimmons@johnson.com,"09613 Elizabeth Islands
Smithbury, RI 92725",In-office,False,Female,2015-02-07,7,4,Contractor,11
104,Wendy,Boyd,opatterson@hotmail.com,"USS Richard
FPO AE 63829",In-office,True,Male,2016-06-03,5,10,Part-time,50
105,Dustin,Hammond,brittany28@yahoo.com,"05733 Hobbs Glens
Port Michael, UT 39567",In-office,False,Female,2023-03-27,8,8,Contractor,107
106,Carlos,Hernandez,mark37@hotmail.com,"01565 Theresa Hollow
South Jeffreytown, DC 33630",Remote,True,Female,2018-04-09,8,3,Contractor,67
107,Keith,Torres,david05@hotmail.com,"3416 Randall Isle Suite 862
West Andrew, AZ 15149",Remote,True,Female,2016-10-04,4,7,Full-time,74
108,John,Gibson,joseph43@hotmail.com,"614 Sawyer Parkway
Codystad, KY 40516",In-office,False,Other,2020-03-29,8,9,Full-time,121
109,Tara,Brown,qbrown@hotmail.com,"96961 Robinson Mews Apt. 988
East Josephland, WI 53345",In-office,False,Male,2021-12-02,2,7,Contractor,104
110,Victoria,Peterson,kathleenward@washington.com,"2171 Michael Spur Apt. 490
Sanchezstad, AR 97879",In-office,False,Male,2020-05-12,1,1,Part-time,46
111,Alexa,Andrews,jonesgerald@gmail.com,"084 Rebecca Plaza Apt. 200
Jeffreyland, MS 72404",Remote,True,Male,2020-03-15,1,8,Full-time,103
112,Thomas,Kelley,tlindsey@holloway-lewis.com,"2840 Ryan Throughway Suite 112
Amystad, MD 09066",In-office,True,Female,2017-10-08,1,10,Full-time,36
113,Robert,Sanders,shafferanthony@thomas.biz,"378 Emily Mission
Ashleyborough, TN 69397",Remote,False,Other,2018-11-17,10,9,Contractor,5
114,Breanna,Warren,dking@bruce.net,"27344 Walker Gardens Apt. 296
Victorialand, AR 99521",In-office,False,Female,2022-02-10,4,10,Contractor,21
115,Kimberly,Parker,hamiltonmolly@yahoo.com,"7218 Preston Brooks
Lake Bailey, MS 18776",Remote,False,Female,2018-08-27,2,9,Full-time,49
116,Jane,Lewis,archermark@kaufman-burton.org,"USNS Nicholson
FPO AE 44436",Remote,True,Male,2018-06-10,10,2,Contractor,65
117,Amanda,Adams,matthew72@hotmail.com,"101 John Turnpike
Lindseymouth, MA 92501",In-office,True,Female,2014-09-16,3,10,Part-time,146
118,Curtis,Lara,heathbill@frazier-mcintyre.com,"289 Clark Pass Apt. 787
Port Scott, DC 06997",Remote,False,Female,2022-10-10,4,1,Full-time,117
119,Megan,Clark,barronjason@carr.info,"29565 Calvin Drive
North Nicolefort, MS 11377",In-office,False,Female,2018-12-10,9,2,Contractor,42
120,Dylan,Campbell,beltranjennifer@rosales.com,"PSC 2563, Box 5051
APO AE 86731",Remote,False,Female,2014-06-11,7,1,Contractor,79
121,Joshua,Franklin,kelsey91@hotmail.com,"3038 Graham Pass
Markport, PA 64569",In-office,True,Male,2019-09-17,7,4,Full-time,55
122,Nicholas,Hernandez,jasminecurry@hotmail.com,"7714 Smith Branch Suite 718
New Loriville, SD 20637",In-office,True,Other,2019-04-07,10,1,Full-time,63
123,Eric,Evans,ashleyboyle@murphy.com,"52457 Johnson Plains Apt. 850
North Williamland, OK 39938",Remote,False,Other,2018-10-04,6,2,Full-time,75
124,Sonya,Washington,qmartin@richards.biz,"9994 Amanda Meadow
Hamiltonbury, CA 21114",In-office,True,Male,2022-07-19,8,9,Full-time,110
125,Jasmine,Cunningham,angelachapman@hotmail.com,"122 Emily Groves Apt. 531
Theresaport, CT 39663",In-office,False,Male,2020-07-17,7,2,Contractor,117
126,Barbara,Young,julialopez@hotmail.com,"81339 Rebecca Crossroad
Port Ryan, NC 27367",Remote,True,Female,2018-06-19,6,2,Contractor,22
127,Jared,Anderson,rileycolin@dunn-stout.com,"321 Jill Plains Suite 815
Jenniferside, SC 54844",In-office,True,Male,2017-02-24,4,6,Contractor,87
128,Jack,Wilson,daniel98@gmail.com,"735 Julie Divide
Ramseymouth, AL 93404",In-office,False,Female,2021-11-02,2,10,Contractor,105
129,Katrina,Conley,qfletcher@gmail.com,"40554 Manuel Way
Fieldschester, DC 16924",Remote,False,Male,2016-04-20,1,6,Full-time,17
130,Shane,Davis,patrickcarrillo@yu.com,"0579 Lisa Keys
Hensonshire, CA 93699",In-office,True,Other,2022-07-29,10,5,Contractor,67
131,Joe,Gonzalez,anthony49@hotmail.com,"7204 Jennifer Cliffs
Joburgh, NM 59823",Remote,True,Female,2018-12-21,1,2,Part-time,13
132,Leah,Nelson,christinebuckley@yahoo.com,"8764 Robert Pine Suite 577
Hilltown, TX 64547",In-office,False,Other,2016-04-14,4,10,Part-time,68
133,Mackenzie,Duke,myoung@rosales-perez.com,"635 Samuel Groves Apt. 770
Port Travisport, AZ 27912",Remote,False,Male,2022-08-12,2,6,Full-time,112
134,Eric,Flores,margaretbarnes@yahoo.com,"218 Edwards Dale
Harrismouth, ME 68053",In-office,False,Male,2021-02-07,7,1,Contractor,134
135,Elizabeth,Patel,brittany08@yahoo.com,"3286 Faith Brooks
New Jason, IN 08100",In-office,False,Female,2015-02-08,4,1,Part-time,114
136,Matthew,Benson,danielstewart@nelson.com,"3856 Monica Garden
Kiarachester, HI 16981",In-office,True,Male,2016-08-15,8,7,Part-time,111
137,Laura,Anderson,troywelch@hotmail.com,"1159 Daniel Fords
North Melvin, AK 40678",In-office,True,Other,2023-07-26,7,8,Part-time,26
138,James,Watson,pruittjames@gmail.com,"1727 Fisher Mall
Obrientown, NE 58043",In-office,True,Female,2014-09-18,4,10,Part-time,23
139,Cynthia,Collins,jeffrey60@patterson.info,"Unit 2594 Box 4848
DPO AE 35517",Remote,True,Other,2017-02-12,2,1,Part-time,88
140,Adam,Castillo,kevin69@anderson.net,"675 Collins Ridge Apt. 088
Hatfieldchester, CA 57757",Remote,True,Female,2014-03-14,6,5,Contractor,31
141,Melissa,Torres,leemargaret@gmail.com,"93784 Sanders Roads
West Danielleborough, DC 78140",In-office,False,Female,2020-08-09,5,7,Part-time,46
142,Stephen,Ayers,freemanjennifer@hotmail.com,"9947 William Ridge Suite 514
Wayneland, ME 61652",In-office,False,Other,2020-10-04,2,1,Contractor,17
143,Robert,Roberson,matthew10@thomas.com,"302 Alexandra Bypass Suite 463
West Johnborough, PA 83621",In-office,True,Other,2023-08-01,10,5,Contractor,94
144,Rhonda,Warner,yvetteknight@gmail.com,"854 Johnston Fort Suite 658
Port Jennyburgh, DC 70629",Remote,True,Male,2016-07-18,3,7,Contractor,134
145,Jason,Payne,tonyapowell@diaz.info,"378 Mark Alley
Johnathanshire, NV 47940",In-office,False,Female,2016-10-23,3,9,Part-time,121
146,Timothy,Knight,carolynperry@doyle-dawson.com,"4874 Glenn Mountain Suite 917
Brianfurt, IN 02946",In-office,True,Other,2022-11-30,9,7,Part-time,71
147,Vanessa,Pierce,john45@hotmail.com,"516 Taylor Shores Apt. 706
Vincentmouth, VA 66976",In-office,False,Female,2018-09-18,7,6,Full-time,16
148,Nicole,Myers,cdavis@morales.org,"59680 Robert Isle Suite 145
Yateston, DE 07076",Remote,False,Male,2023-05-16,5,1,Full-time,65
149,Beth,Campbell,nathanjohnson@yahoo.com,"2877 Gary Hollow
New Jesse, IA 77676",In-office,True,Female,2019-05-29,4,10,Contractor,6
150,William,Wolf,robert37@ramirez.com,"311 Smith Stream Suite 840
East Katieview, LA 41591",Remote,False,Female,2022-10-09,9,5,Contractor,48
